name,state,address,address2,city,county,country,lat,lng
Dunkin Donuts,PA,3560 E State St,,Hermitage,,US,41.233411,-80.443431
Dunkin Donuts,NY,17 Mohawk Ave,,Scotia,,US,42.824081,-73.959808
Dunkin Donuts,NY,1420 Broadway,,Schenectady,,US,42.802871,-73.956015
Dunkin Donuts,NY,1900 Curry Rd,,Schenectady,,US,42.780191,-73.957185
Dunkin Donuts,PA,1163 N. Nine St,,Stroudsburg,,US,40.987337,-75.222966
Dunkin Donuts,NY,432 Main St,,Massena,,US,44.920310,-74.888894
Dunkin Donuts,NY,245 Saratoga Rd,,Glenville,,US,42.868832,-73.932896
Dunkin Donuts,NY,266 Saratoga Rd,,Scotia,,US,42.871003,-73.931411
Dunkin Donuts,NY,65 Freemans Bridge Rd,,Glenville,,US,42.837158,-73.934959
Dunkin Donuts,PA,246 N Courtland St,,East Stroudsburg,,US,41.005646,-75.183859
Dunkin Donuts,PA,8 Liberty Sq,,East Stroudsburg,,US,41.051282,-75.107690
Dunkin Donuts,NY,1200 State St,,Schenectady,,US,42.799064,-73.925600
Dunkin Donuts,PA,823 Main St,,Stroudsburg,,US,40.984472,-75.197219
Dunkin Donuts,NY,2 1/2 N Main St,,Ellenville,,US,41.724857,-74.389155
Dunkin Donuts,PA,325 S Best Ave,,Walnutport,,US,40.753489,-75.591808
Dunkin Donuts,NY,809B Route 50,,Burnt Hills,,US,42.909602,-73.899395
Dunkin Donuts,NY,2500 Albany St,,Schenectady,,US,42.783957,-73.913143
Dunkin Donuts,NY,1621 Union St,,Schenectady,,US,42.804861,-73.904448
Dunkin Donuts,PA,1618 Mountain Rd,,Hamburg,,US,40.560825,-76.003221
Dunkin Donuts,PA,4342 Linglestown Rd,,Harrisburg,,US,40.336543,-76.821714
Dunkin Donuts,NY,1607 Rte 146,,Rexford,,US,42.861098,-73.888738
Dunkin Donuts,NY,290 E Main St,,Port Jervis,,US,41.358420,-74.683772
Dunkin Donuts,NY,3526 State St,,Schenectady,,US,42.769423,-73.893211
Dunkin Donuts,PA,421 N Enola Rd,,Enola,,US,40.298678,-76.928475
Dunkin Donuts,NY,2060 Western Ave,Star Plaza,Guilderland,,US,42.698001,-73.890039
Dunkin Donuts,NY,451 Geyser Rd,Cumberland Farms,Ballston Spa,,US,43.045471,-73.850074
Dunkin Donuts,NY,194 Church Ave,,Ballston Spa,,US,42.993542,-73.850653
Dunkin Donuts,NY,2007 Doubleday Ave,,Ballston Spa,,US,43.011148,-73.849536
Dunkin Donuts,NY,7555 Route 32,,Cairo,,US,42.292760,-73.988890
Dunkin Donuts,PA,4005 Jonestown Rd,,Harrisburg,,US,40.293736,-76.827653
Dunkin Donuts,PA,2503 Wilmington Rd,,New Castle,,US,41.030264,-80.354699
Dunkin Donuts,NY,392 Karner Rd,,Albany,,US,42.733573,-73.848976
Dunkin Donuts,PA,855 South Broadway,,Wind Gap,,US,40.838420,-75.296009
Dunkin Donuts,NY,1573 Western Ave,,Guilderland,,US,42.684531,-73.847918
Dunkin Donuts,NY,1365 New Scotland Rd,,Slingerlands,,US,42.638783,-73.857463
Dunkin Donuts,PA,134 N Mill St,,New Castle,,US,41.002253,-80.344158
Dunkin Donuts,NY,80 West Ave,,Saratoga Springs,,US,43.079781,-73.803532
Dunkin Donuts,PA,1651 Harrisburg Pike,,Carlisle,,US,40.234301,-77.121768
Dunkin Donuts,NY,1636 Central Ave,,Colonie,,US,42.720246,-73.836286
Dunkin Donuts,NY,1198 Troy Schenectady Rd,,Latham,,US,42.770297,-73.821519
Dunkin Donuts,PA,107 N. 2nd St,,Harrisburg,,US,40.260788,-76.883464
Dunkin Donuts,NY,2954 US Route 9,,Ballston Spa,,US,43.026859,-73.792798
Dunkin Donuts,NY,509 State Route 67,,Malta,,US,42.970351,-73.794791
Dunkin Donuts,NY,207 S Broadway,,Saratoga Springs,,US,43.074622,-73.787551
Dunkin Donuts,PA,100 N. Londonderry Sq,Wal*Mart #2888,Palmyra,,US,40.313641,-76.583560
Dunkin Donuts,NY,1232 Western Ave,Suite 1,Albany,,US,42.677847,-73.829086
Dunkin Donuts,PA,5306 Carlisle Pike,,Mechanicsburg,,US,40.239453,-76.982562
Dunkin Donuts,PA,605 Park Ave,,Hershey,,US,40.293709,-76.651053
Dunkin Donuts,PA,2199 Cumberland St,,Lebanon,,US,40.339241,-76.450237
Dunkin Donuts,NY,1425 Washington Ave,,Albany,,US,42.689654,-73.819927
Dunkin Donuts,NY,41 Wolf Rd,,Colonie,,US,42.712686,-73.815261
Dunkin Donuts,PA,3626 Route 309,,Orefield,,US,40.647491,-75.595321
Dunkin Donuts,PA,2820 Paxton St,,Harrisburg,,US,40.256014,-76.839983
Dunkin Donuts,NY,1003 Troy-Schenectady Rd,,Latham,,US,42.763956,-73.802432
Dunkin Donuts,PA,100 West Hershey Park Dr,Hershey Park,Hershey,,US,40.287919,-76.656459
Dunkin Donuts,PA,1679 Nor Bath Blvd,,Northampton,,US,40.694445,-75.489844
Dunkin Donuts,NY,647 Maple Ave,,Saratoga Springs,,US,43.123196,-73.768610
Dunkin Donuts,NY,186 Wolf Rd,,Colonie,,US,42.723289,-73.801380
